word,part_of_speech,class,definition_en,definition_sn,example_sentence,synonyms,antonyms,source
makarimwa,verb,,you (plural) cultivate (to be v-ed) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (plural) kubva pane: kurimwa,,,,Morphological Engine (Conjugation of kurimwa)
mucharimwa,verb,,you (plural) will cultivate (to be v-ed) (conjugation: future tense),chiito chichazoitika chemunhu: you (plural) kubva pane: kurimwa,,,,Morphological Engine (Conjugation of kurimwa)
vanorimwa,verb,,they cultivate (to be v-ed) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: they kubva pane: kurimwa,,,,Morphological Engine (Conjugation of kurimwa)
varikurimwa,verb,,they are currently cultivate (to be v-ed) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: they kubva pane: kurimwa,,,,Morphological Engine (Conjugation of kurimwa)
varimwa,verb,,they cultivate (to be v-ed) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: they kubva pane: kurimwa,,,,Morphological Engine (Conjugation of kurimwa)
vakarimwa,verb,,they cultivate (to be v-ed) (conjugation: remote past tense),chiito chakaitika kare chemunhu: they kubva pane: kurimwa,,,,Morphological Engine (Conjugation of kurimwa)
vacharimwa,verb,,they will cultivate (to be v-ed) (conjugation: future tense),chiito chichazoitika chemunhu: they kubva pane: kurimwa,,,,Morphological Engine (Conjugation of kurimwa)
ndinorimisa,verb,,I cultivate (to cause to v; make v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
ndirikurimisa,verb,,I am currently cultivate (to cause to v; make v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
ndarimisa,verb,,I cultivate (to cause to v; make v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
ndakarimisa,verb,,I cultivate (to cause to v; make v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
ndicharimisa,verb,,I will cultivate (to cause to v; make v) (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
unorimisa,verb,,you (singular) cultivate (to cause to v; make v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
urikurimisa,verb,,you (singular) are currently cultivate (to cause to v; make v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
warimisa,verb,,you (singular) cultivate (to cause to v; make v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
wakarimisa,verb,,you (singular) cultivate (to cause to v; make v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
ucharimisa,verb,,you (singular) will cultivate (to cause to v; make v) (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
anorimisa,verb,,he/she/it cultivate (to cause to v; make v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
arikurimisa,verb,,he/she/it is currently cultivate (to cause to v; make v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
arimisa,verb,,he/she/it cultivate (to cause to v; make v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
akarimisa,verb,,he/she/it cultivate (to cause to v; make v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
acharimisa,verb,,he/she/it will cultivate (to cause to v; make v) (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
tinorimisa,verb,,we cultivate (to cause to v; make v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
tirikurimisa,verb,,we are currently cultivate (to cause to v; make v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
tarimisa,verb,,we cultivate (to cause to v; make v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
takarimisa,verb,,we cultivate (to cause to v; make v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
ticharimisa,verb,,we will cultivate (to cause to v; make v) (conjugation: future tense),chiito chichazoitika chemunhu: we kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
munorimisa,verb,,you (plural) cultivate (to cause to v; make v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (plural) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
murikurimisa,verb,,you (plural) are currently cultivate (to cause to v; make v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (plural) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
marimisa,verb,,you (plural) cultivate (to cause to v; make v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (plural) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
makarimisa,verb,,you (plural) cultivate (to cause to v; make v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (plural) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
mucharimisa,verb,,you (plural) will cultivate (to cause to v; make v) (conjugation: future tense),chiito chichazoitika chemunhu: you (plural) kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
vanorimisa,verb,,they cultivate (to cause to v; make v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: they kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
varikurimisa,verb,,they are currently cultivate (to cause to v; make v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: they kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
varimisa,verb,,they cultivate (to cause to v; make v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: they kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
vakarimisa,verb,,they cultivate (to cause to v; make v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: they kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
vacharimisa,verb,,they will cultivate (to cause to v; make v) (conjugation: future tense),chiito chichazoitika chemunhu: they kubva pane: kurimisa,,,,Morphological Engine (Conjugation of kurimisa)
ndinorimana,verb,,I cultivate (to v each other) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
ndirikurimana,verb,,I am currently cultivate (to v each other) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
ndarimana,verb,,I cultivate (to v each other) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
ndakarimana,verb,,I cultivate (to v each other) (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
ndicharimana,verb,,I will cultivate (to v each other) (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
unorimana,verb,,you (singular) cultivate (to v each other) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
urikurimana,verb,,you (singular) are currently cultivate (to v each other) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
warimana,verb,,you (singular) cultivate (to v each other) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
wakarimana,verb,,you (singular) cultivate (to v each other) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
ucharimana,verb,,you (singular) will cultivate (to v each other) (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
anorimana,verb,,he/she/it cultivate (to v each other) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
arikurimana,verb,,he/she/it is currently cultivate (to v each other) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
arimana,verb,,he/she/it cultivate (to v each other) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
akarimana,verb,,he/she/it cultivate (to v each other) (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
acharimana,verb,,he/she/it will cultivate (to v each other) (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
tinorimana,verb,,we cultivate (to v each other) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
tirikurimana,verb,,we are currently cultivate (to v each other) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
tarimana,verb,,we cultivate (to v each other) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
takarimana,verb,,we cultivate (to v each other) (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
ticharimana,verb,,we will cultivate (to v each other) (conjugation: future tense),chiito chichazoitika chemunhu: we kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
munorimana,verb,,you (plural) cultivate (to v each other) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (plural) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
murikurimana,verb,,you (plural) are currently cultivate (to v each other) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (plural) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
marimana,verb,,you (plural) cultivate (to v each other) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (plural) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
makarimana,verb,,you (plural) cultivate (to v each other) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (plural) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
mucharimana,verb,,you (plural) will cultivate (to v each other) (conjugation: future tense),chiito chichazoitika chemunhu: you (plural) kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
vanorimana,verb,,they cultivate (to v each other) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: they kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
varikurimana,verb,,they are currently cultivate (to v each other) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: they kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
varimana,verb,,they cultivate (to v each other) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: they kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
vakarimana,verb,,they cultivate (to v each other) (conjugation: remote past tense),chiito chakaitika kare chemunhu: they kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
vacharimana,verb,,they will cultivate (to v each other) (conjugation: future tense),chiito chichazoitika chemunhu: they kubva pane: kurimana,,,,Morphological Engine (Conjugation of kurimana)
ndinorimira,verb,,I cultivate (to v for / at / on behalf of) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
ndirikurimira,verb,,I am currently cultivate (to v for / at / on behalf of) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
ndarimira,verb,,I cultivate (to v for / at / on behalf of) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
ndakarimira,verb,,I cultivate (to v for / at / on behalf of) (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
ndicharimira,verb,,I will cultivate (to v for / at / on behalf of) (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
unorimira,verb,,you (singular) cultivate (to v for / at / on behalf of) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
urikurimira,verb,,you (singular) are currently cultivate (to v for / at / on behalf of) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
warimira,verb,,you (singular) cultivate (to v for / at / on behalf of) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
wakarimira,verb,,you (singular) cultivate (to v for / at / on behalf of) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
ucharimira,verb,,you (singular) will cultivate (to v for / at / on behalf of) (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
anorimira,verb,,he/she/it cultivate (to v for / at / on behalf of) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
arikurimira,verb,,he/she/it is currently cultivate (to v for / at / on behalf of) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
arimira,verb,,he/she/it cultivate (to v for / at / on behalf of) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
akarimira,verb,,he/she/it cultivate (to v for / at / on behalf of) (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
acharimira,verb,,he/she/it will cultivate (to v for / at / on behalf of) (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
tinorimira,verb,,we cultivate (to v for / at / on behalf of) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
tirikurimira,verb,,we are currently cultivate (to v for / at / on behalf of) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
tarimira,verb,,we cultivate (to v for / at / on behalf of) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
takarimira,verb,,we cultivate (to v for / at / on behalf of) (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
ticharimira,verb,,we will cultivate (to v for / at / on behalf of) (conjugation: future tense),chiito chichazoitika chemunhu: we kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
munorimira,verb,,you (plural) cultivate (to v for / at / on behalf of) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (plural) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
murikurimira,verb,,you (plural) are currently cultivate (to v for / at / on behalf of) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (plural) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
marimira,verb,,you (plural) cultivate (to v for / at / on behalf of) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (plural) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
makarimira,verb,,you (plural) cultivate (to v for / at / on behalf of) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (plural) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
mucharimira,verb,,you (plural) will cultivate (to v for / at / on behalf of) (conjugation: future tense),chiito chichazoitika chemunhu: you (plural) kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
vanorimira,verb,,they cultivate (to v for / at / on behalf of) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: they kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
varikurimira,verb,,they are currently cultivate (to v for / at / on behalf of) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: they kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
varimira,verb,,they cultivate (to v for / at / on behalf of) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: they kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
vakarimira,verb,,they cultivate (to v for / at / on behalf of) (conjugation: remote past tense),chiito chakaitika kare chemunhu: they kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
vacharimira,verb,,they will cultivate (to v for / at / on behalf of) (conjugation: future tense),chiito chichazoitika chemunhu: they kubva pane: kurimira,,,,Morphological Engine (Conjugation of kurimira)
ndinorimura,verb,,I cultivate (to un-v; reverse the action of v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
ndirikurimura,verb,,I am currently cultivate (to un-v; reverse the action of v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
ndarimura,verb,,I cultivate (to un-v; reverse the action of v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
ndakarimura,verb,,I cultivate (to un-v; reverse the action of v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
ndicharimura,verb,,I will cultivate (to un-v; reverse the action of v) (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
unorimura,verb,,you (singular) cultivate (to un-v; reverse the action of v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
urikurimura,verb,,you (singular) are currently cultivate (to un-v; reverse the action of v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
warimura,verb,,you (singular) cultivate (to un-v; reverse the action of v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
wakarimura,verb,,you (singular) cultivate (to un-v; reverse the action of v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
ucharimura,verb,,you (singular) will cultivate (to un-v; reverse the action of v) (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
anorimura,verb,,he/she/it cultivate (to un-v; reverse the action of v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
arikurimura,verb,,he/she/it is currently cultivate (to un-v; reverse the action of v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
arimura,verb,,he/she/it cultivate (to un-v; reverse the action of v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
akarimura,verb,,he/she/it cultivate (to un-v; reverse the action of v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
acharimura,verb,,he/she/it will cultivate (to un-v; reverse the action of v) (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
tinorimura,verb,,we cultivate (to un-v; reverse the action of v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
tirikurimura,verb,,we are currently cultivate (to un-v; reverse the action of v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
tarimura,verb,,we cultivate (to un-v; reverse the action of v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
takarimura,verb,,we cultivate (to un-v; reverse the action of v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
ticharimura,verb,,we will cultivate (to un-v; reverse the action of v) (conjugation: future tense),chiito chichazoitika chemunhu: we kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
munorimura,verb,,you (plural) cultivate (to un-v; reverse the action of v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (plural) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
murikurimura,verb,,you (plural) are currently cultivate (to un-v; reverse the action of v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (plural) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
marimura,verb,,you (plural) cultivate (to un-v; reverse the action of v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (plural) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
makarimura,verb,,you (plural) cultivate (to un-v; reverse the action of v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (plural) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
mucharimura,verb,,you (plural) will cultivate (to un-v; reverse the action of v) (conjugation: future tense),chiito chichazoitika chemunhu: you (plural) kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
vanorimura,verb,,they cultivate (to un-v; reverse the action of v) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: they kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
varikurimura,verb,,they are currently cultivate (to un-v; reverse the action of v) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: they kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
varimura,verb,,they cultivate (to un-v; reverse the action of v) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: they kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
vakarimura,verb,,they cultivate (to un-v; reverse the action of v) (conjugation: remote past tense),chiito chakaitika kare chemunhu: they kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
vacharimura,verb,,they will cultivate (to un-v; reverse the action of v) (conjugation: future tense),chiito chichazoitika chemunhu: they kubva pane: kurimura,,,,Morphological Engine (Conjugation of kurimura)
ndinorotwa,verb,,I dream (to be v-ed) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: I kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
ndirikurotwa,verb,,I am currently dream (to be v-ed) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: I kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
ndarotwa,verb,,I dream (to be v-ed) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: I kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
ndakarotwa,verb,,I dream (to be v-ed) (conjugation: remote past tense),chiito chakaitika kare chemunhu: I kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
ndicharotwa,verb,,I will dream (to be v-ed) (conjugation: future tense),chiito chichazoitika chemunhu: I kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
unorotwa,verb,,you (singular) dream (to be v-ed) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: you (singular) kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
urikurotwa,verb,,you (singular) are currently dream (to be v-ed) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: you (singular) kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
warotwa,verb,,you (singular) dream (to be v-ed) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: you (singular) kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
wakarotwa,verb,,you (singular) dream (to be v-ed) (conjugation: remote past tense),chiito chakaitika kare chemunhu: you (singular) kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
ucharotwa,verb,,you (singular) will dream (to be v-ed) (conjugation: future tense),chiito chichazoitika chemunhu: you (singular) kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
anorotwa,verb,,he/she/it dream (to be v-ed) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: he/she/it kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
arikurotwa,verb,,he/she/it is currently dream (to be v-ed) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: he/she/it kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
arotwa,verb,,he/she/it dream (to be v-ed) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: he/she/it kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
akarotwa,verb,,he/she/it dream (to be v-ed) (conjugation: remote past tense),chiito chakaitika kare chemunhu: he/she/it kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
acharotwa,verb,,he/she/it will dream (to be v-ed) (conjugation: future tense),chiito chichazoitika chemunhu: he/she/it kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
tinorotwa,verb,,we dream (to be v-ed) (conjugation: present habitual tense),chiito chokusimbisa chemunhu: we kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
tirikurotwa,verb,,we are currently dream (to be v-ed) (conjugation: progressive tense),chiito chiri kuitika iye zvino chemunhu: we kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
tarotwa,verb,,we dream (to be v-ed) recently (conjugation: near past tense),chiito chakaitika achangobva chemunhu: we kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
takarotwa,verb,,we dream (to be v-ed) (conjugation: remote past tense),chiito chakaitika kare chemunhu: we kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
ticharotwa,verb,,we will dream (to be v-ed) (conjugation: future tense),chiito chichazoitika chemunhu: we kubva pane: kurotwa,,,,Morphological Engine (Conjugation of kurotwa)
