mwana	child; offspring
unootera	you (singular) take warmth from a fire. (to v for / at / on behalf of) (conjugation: present habitual tense)
urikuotera	you (singular) are currently take warmth from a fire. (to v for / at / on behalf of) (conjugation: progressive tense)
waotera	you (singular) take warmth from a fire. (to v for / at / on behalf of) recently (conjugation: near past tense)
wakaotera	you (singular) take warmth from a fire. (to v for / at / on behalf of) (conjugation: remote past tense)
uchaotera	you (singular) will take warmth from a fire. (to v for / at / on behalf of) (conjugation: future tense)
anootera	he/she/it take warmth from a fire. (to v for / at / on behalf of) (conjugation: present habitual tense)
arikuotera	he/she/it is currently take warmth from a fire. (to v for / at / on behalf of) (conjugation: progressive tense)
aotera	he/she/it take warmth from a fire. (to v for / at / on behalf of) recently (conjugation: near past tense)
akaotera	he/she/it take warmth from a fire. (to v for / at / on behalf of) (conjugation: remote past tense)
achaotera	he/she/it will take warmth from a fire. (to v for / at / on behalf of) (conjugation: future tense)
tinootera	we take warmth from a fire. (to v for / at / on behalf of) (conjugation: present habitual tense)
tirikuotera	we are currently take warmth from a fire. (to v for / at / on behalf of) (conjugation: progressive tense)
taotera	we take warmth from a fire. (to v for / at / on behalf of) recently (conjugation: near past tense)
takaotera	we take warmth from a fire. (to v for / at / on behalf of) (conjugation: remote past tense)
tichaotera	we will take warmth from a fire. (to v for / at / on behalf of) (conjugation: future tense)
munootera	you (plural) take warmth from a fire. (to v for / at / on behalf of) (conjugation: present habitual tense)
murikuotera	you (plural) are currently take warmth from a fire. (to v for / at / on behalf of) (conjugation: progressive tense)
maotera	you (plural) take warmth from a fire. (to v for / at / on behalf of) recently (conjugation: near past tense)
makaotera	you (plural) take warmth from a fire. (to v for / at / on behalf of) (conjugation: remote past tense)
muchaotera	you (plural) will take warmth from a fire. (to v for / at / on behalf of) (conjugation: future tense)
vanootera	they take warmth from a fire. (to v for / at / on behalf of) (conjugation: present habitual tense)
varikuotera	they are currently take warmth from a fire. (to v for / at / on behalf of) (conjugation: progressive tense)
vaotera	they take warmth from a fire. (to v for / at / on behalf of) recently (conjugation: near past tense)
vakaotera	they take warmth from a fire. (to v for / at / on behalf of) (conjugation: remote past tense)
vachaotera	they will take warmth from a fire. (to v for / at / on behalf of) (conjugation: future tense)
ndinootora	I take warmth from a fire. (to un-v; reverse the action of v) (conjugation: present habitual tense)
ndirikuotora	I am currently take warmth from a fire. (to un-v; reverse the action of v) (conjugation: progressive tense)
ndaotora	I take warmth from a fire. (to un-v; reverse the action of v) recently (conjugation: near past tense)
ndakaotora	I take warmth from a fire. (to un-v; reverse the action of v) (conjugation: remote past tense)
ndichaotora	I will take warmth from a fire. (to un-v; reverse the action of v) (conjugation: future tense)
unootora	you (singular) take warmth from a fire. (to un-v; reverse the action of v) (conjugation: present habitual tense)
urikuotora	you (singular) are currently take warmth from a fire. (to un-v; reverse the action of v) (conjugation: progressive tense)
waotora	you (singular) take warmth from a fire. (to un-v; reverse the action of v) recently (conjugation: near past tense)
wakaotora	you (singular) take warmth from a fire. (to un-v; reverse the action of v) (conjugation: remote past tense)
uchaotora	you (singular) will take warmth from a fire. (to un-v; reverse the action of v) (conjugation: future tense)
anootora	he/she/it take warmth from a fire. (to un-v; reverse the action of v) (conjugation: present habitual tense)
arikuotora	he/she/it is currently take warmth from a fire. (to un-v; reverse the action of v) (conjugation: progressive tense)
aotora	he/she/it take warmth from a fire. (to un-v; reverse the action of v) recently (conjugation: near past tense)
akaotora	he/she/it take warmth from a fire. (to un-v; reverse the action of v) (conjugation: remote past tense)
achaotora	he/she/it will take warmth from a fire. (to un-v; reverse the action of v) (conjugation: future tense)
tinootora	we take warmth from a fire. (to un-v; reverse the action of v) (conjugation: present habitual tense)
tirikuotora	we are currently take warmth from a fire. (to un-v; reverse the action of v) (conjugation: progressive tense)
taotora	we take warmth from a fire. (to un-v; reverse the action of v) recently (conjugation: near past tense)
takaotora	we take warmth from a fire. (to un-v; reverse the action of v) (conjugation: remote past tense)
tichaotora	we will take warmth from a fire. (to un-v; reverse the action of v) (conjugation: future tense)
munootora	you (plural) take warmth from a fire. (to un-v; reverse the action of v) (conjugation: present habitual tense)
murikuotora	you (plural) are currently take warmth from a fire. (to un-v; reverse the action of v) (conjugation: progressive tense)
maotora	you (plural) take warmth from a fire. (to un-v; reverse the action of v) recently (conjugation: near past tense)
makaotora	you (plural) take warmth from a fire. (to un-v; reverse the action of v) (conjugation: remote past tense)
muchaotora	you (plural) will take warmth from a fire. (to un-v; reverse the action of v) (conjugation: future tense)
vanootora	they take warmth from a fire. (to un-v; reverse the action of v) (conjugation: present habitual tense)
varikuotora	they are currently take warmth from a fire. (to un-v; reverse the action of v) (conjugation: progressive tense)
vaotora	they take warmth from a fire. (to un-v; reverse the action of v) recently (conjugation: near past tense)
vakaotora	they take warmth from a fire. (to un-v; reverse the action of v) (conjugation: remote past tense)
vachaotora	they will take warmth from a fire. (to un-v; reverse the action of v) (conjugation: future tense)
ndinopiwa	I give (to be v-ed) (conjugation: present habitual tense)
ndirikupiwa	I am currently give (to be v-ed) (conjugation: progressive tense)
ndapiwa	I give (to be v-ed) recently (conjugation: near past tense)
ndakapiwa	I give (to be v-ed) (conjugation: remote past tense)
ndichapiwa	I will give (to be v-ed) (conjugation: future tense)
unopiwa	you (singular) give (to be v-ed) (conjugation: present habitual tense)
urikupiwa	you (singular) are currently give (to be v-ed) (conjugation: progressive tense)
wapiwa	you (singular) give (to be v-ed) recently (conjugation: near past tense)
wakapiwa	you (singular) give (to be v-ed) (conjugation: remote past tense)
uchapiwa	you (singular) will give (to be v-ed) (conjugation: future tense)
anopiwa	he/she/it give (to be v-ed) (conjugation: present habitual tense)
arikupiwa	he/she/it is currently give (to be v-ed) (conjugation: progressive tense)
apiwa	he/she/it give (to be v-ed) recently (conjugation: near past tense)
akapiwa	he/she/it give (to be v-ed) (conjugation: remote past tense)
achapiwa	he/she/it will give (to be v-ed) (conjugation: future tense)
tinopiwa	we give (to be v-ed) (conjugation: present habitual tense)
tirikupiwa	we are currently give (to be v-ed) (conjugation: progressive tense)
tapiwa	we give (to be v-ed) recently (conjugation: near past tense)
takapiwa	we give (to be v-ed) (conjugation: remote past tense)
tichapiwa	we will give (to be v-ed) (conjugation: future tense)
munopiwa	you (plural) give (to be v-ed) (conjugation: present habitual tense)
murikupiwa	you (plural) are currently give (to be v-ed) (conjugation: progressive tense)
mapiwa	you (plural) give (to be v-ed) recently (conjugation: near past tense)
makapiwa	you (plural) give (to be v-ed) (conjugation: remote past tense)
muchapiwa	you (plural) will give (to be v-ed) (conjugation: future tense)
vanopiwa	they give (to be v-ed) (conjugation: present habitual tense)
varikupiwa	they are currently give (to be v-ed) (conjugation: progressive tense)
vapiwa	they give (to be v-ed) recently (conjugation: near past tense)
vakapiwa	they give (to be v-ed) (conjugation: remote past tense)
vachapiwa	they will give (to be v-ed) (conjugation: future tense)
ndinopisa	I give (to cause to v; make v) (conjugation: present habitual tense)
ndirikupisa	I am currently give (to cause to v; make v) (conjugation: progressive tense)
ndapisa	I give (to cause to v; make v) recently (conjugation: near past tense)
ndakapisa	I give (to cause to v; make v) (conjugation: remote past tense)
ndichapisa	I will give (to cause to v; make v) (conjugation: future tense)
unopisa	you (singular) give (to cause to v; make v) (conjugation: present habitual tense)
urikupisa	you (singular) are currently give (to cause to v; make v) (conjugation: progressive tense)
wapisa	you (singular) give (to cause to v; make v) recently (conjugation: near past tense)
wakapisa	you (singular) give (to cause to v; make v) (conjugation: remote past tense)
uchapisa	you (singular) will give (to cause to v; make v) (conjugation: future tense)
anopisa	he/she/it give (to cause to v; make v) (conjugation: present habitual tense)
arikupisa	he/she/it is currently give (to cause to v; make v) (conjugation: progressive tense)
apisa	he/she/it give (to cause to v; make v) recently (conjugation: near past tense)
akapisa	he/she/it give (to cause to v; make v) (conjugation: remote past tense)
achapisa	he/she/it will give (to cause to v; make v) (conjugation: future tense)
tinopisa	we give (to cause to v; make v) (conjugation: present habitual tense)
tirikupisa	we are currently give (to cause to v; make v) (conjugation: progressive tense)
tapisa	we give (to cause to v; make v) recently (conjugation: near past tense)
takapisa	we give (to cause to v; make v) (conjugation: remote past tense)
tichapisa	we will give (to cause to v; make v) (conjugation: future tense)
munopisa	you (plural) give (to cause to v; make v) (conjugation: present habitual tense)
murikupisa	you (plural) are currently give (to cause to v; make v) (conjugation: progressive tense)
mapisa	you (plural) give (to cause to v; make v) recently (conjugation: near past tense)
makapisa	you (plural) give (to cause to v; make v) (conjugation: remote past tense)
muchapisa	you (plural) will give (to cause to v; make v) (conjugation: future tense)
vanopisa	they give (to cause to v; make v) (conjugation: present habitual tense)
varikupisa	they are currently give (to cause to v; make v) (conjugation: progressive tense)
vapisa	they give (to cause to v; make v) recently (conjugation: near past tense)
vakapisa	they give (to cause to v; make v) (conjugation: remote past tense)
vachapisa	they will give (to cause to v; make v) (conjugation: future tense)
ndinopana	I give (to v each other) (conjugation: present habitual tense)
ndirikupana	I am currently give (to v each other) (conjugation: progressive tense)
ndapana	I give (to v each other) recently (conjugation: near past tense)
ndakapana	I give (to v each other) (conjugation: remote past tense)
ndichapana	I will give (to v each other) (conjugation: future tense)
unopana	you (singular) give (to v each other) (conjugation: present habitual tense)
urikupana	you (singular) are currently give (to v each other) (conjugation: progressive tense)
wapana	you (singular) give (to v each other) recently (conjugation: near past tense)
wakapana	you (singular) give (to v each other) (conjugation: remote past tense)
uchapana	you (singular) will give (to v each other) (conjugation: future tense)
anopana	he/she/it give (to v each other) (conjugation: present habitual tense)
arikupana	he/she/it is currently give (to v each other) (conjugation: progressive tense)
apana	he/she/it give (to v each other) recently (conjugation: near past tense)
akapana	he/she/it give (to v each other) (conjugation: remote past tense)
achapana	he/she/it will give (to v each other) (conjugation: future tense)
tinopana	we give (to v each other) (conjugation: present habitual tense)
tirikupana	we are currently give (to v each other) (conjugation: progressive tense)
tapana	we give (to v each other) recently (conjugation: near past tense)
takapana	we give (to v each other) (conjugation: remote past tense)
tichapana	we will give (to v each other) (conjugation: future tense)
munopana	you (plural) give (to v each other) (conjugation: present habitual tense)
murikupana	you (plural) are currently give (to v each other) (conjugation: progressive tense)
mapana	you (plural) give (to v each other) recently (conjugation: near past tense)
makapana	you (plural) give (to v each other) (conjugation: remote past tense)
muchapana	you (plural) will give (to v each other) (conjugation: future tense)
vanopana	they give (to v each other) (conjugation: present habitual tense)
varikupana	they are currently give (to v each other) (conjugation: progressive tense)
vapana	they give (to v each other) recently (conjugation: near past tense)
vakapana	they give (to v each other) (conjugation: remote past tense)
vachapana	they will give (to v each other) (conjugation: future tense)
ndinopira	I give (to v for / at / on behalf of) (conjugation: present habitual tense)
ndirikupira	I am currently give (to v for / at / on behalf of) (conjugation: progressive tense)
ndapira	I give (to v for / at / on behalf of) recently (conjugation: near past tense)
ndakapira	I give (to v for / at / on behalf of) (conjugation: remote past tense)
ndichapira	I will give (to v for / at / on behalf of) (conjugation: future tense)
unopira	you (singular) give (to v for / at / on behalf of) (conjugation: present habitual tense)
urikupira	you (singular) are currently give (to v for / at / on behalf of) (conjugation: progressive tense)
wapira	you (singular) give (to v for / at / on behalf of) recently (conjugation: near past tense)
wakapira	you (singular) give (to v for / at / on behalf of) (conjugation: remote past tense)
uchapira	you (singular) will give (to v for / at / on behalf of) (conjugation: future tense)
anopira	he/she/it give (to v for / at / on behalf of) (conjugation: present habitual tense)
arikupira	he/she/it is currently give (to v for / at / on behalf of) (conjugation: progressive tense)
apira	he/she/it give (to v for / at / on behalf of) recently (conjugation: near past tense)
akapira	he/she/it give (to v for / at / on behalf of) (conjugation: remote past tense)
achapira	he/she/it will give (to v for / at / on behalf of) (conjugation: future tense)
tinopira	we give (to v for / at / on behalf of) (conjugation: present habitual tense)
tirikupira	we are currently give (to v for / at / on behalf of) (conjugation: progressive tense)
tapira	we give (to v for / at / on behalf of) recently (conjugation: near past tense)
takapira	we give (to v for / at / on behalf of) (conjugation: remote past tense)
tichapira	we will give (to v for / at / on behalf of) (conjugation: future tense)
munopira	you (plural) give (to v for / at / on behalf of) (conjugation: present habitual tense)
murikupira	you (plural) are currently give (to v for / at / on behalf of) (conjugation: progressive tense)
mapira	you (plural) give (to v for / at / on behalf of) recently (conjugation: near past tense)
makapira	you (plural) give (to v for / at / on behalf of) (conjugation: remote past tense)
muchapira	you (plural) will give (to v for / at / on behalf of) (conjugation: future tense)
vanopira	they give (to v for / at / on behalf of) (conjugation: present habitual tense)
varikupira	they are currently give (to v for / at / on behalf of) (conjugation: progressive tense)
vapira	they give (to v for / at / on behalf of) recently (conjugation: near past tense)
vakapira	they give (to v for / at / on behalf of) (conjugation: remote past tense)
vachapira	they will give (to v for / at / on behalf of) (conjugation: future tense)
ndinopura	I give (to un-v; reverse the action of v) (conjugation: present habitual tense)
ndirikupura	I am currently give (to un-v; reverse the action of v) (conjugation: progressive tense)
ndapura	I give (to un-v; reverse the action of v) recently (conjugation: near past tense)
ndakapura	I give (to un-v; reverse the action of v) (conjugation: remote past tense)
ndichapura	I will give (to un-v; reverse the action of v) (conjugation: future tense)
unopura	you (singular) give (to un-v; reverse the action of v) (conjugation: present habitual tense)
urikupura	you (singular) are currently give (to un-v; reverse the action of v) (conjugation: progressive tense)
wapura	you (singular) give (to un-v; reverse the action of v) recently (conjugation: near past tense)
wakapura	you (singular) give (to un-v; reverse the action of v) (conjugation: remote past tense)
uchapura	you (singular) will give (to un-v; reverse the action of v) (conjugation: future tense)
anopura	he/she/it give (to un-v; reverse the action of v) (conjugation: present habitual tense)
arikupura	he/she/it is currently give (to un-v; reverse the action of v) (conjugation: progressive tense)
apura	he/she/it give (to un-v; reverse the action of v) recently (conjugation: near past tense)
akapura	he/she/it give (to un-v; reverse the action of v) (conjugation: remote past tense)
achapura	he/she/it will give (to un-v; reverse the action of v) (conjugation: future tense)
tinopura	we give (to un-v; reverse the action of v) (conjugation: present habitual tense)
tirikupura	we are currently give (to un-v; reverse the action of v) (conjugation: progressive tense)
tapura	we give (to un-v; reverse the action of v) recently (conjugation: near past tense)
takapura	we give (to un-v; reverse the action of v) (conjugation: remote past tense)
tichapura	we will give (to un-v; reverse the action of v) (conjugation: future tense)
munopura	you (plural) give (to un-v; reverse the action of v) (conjugation: present habitual tense)
murikupura	you (plural) are currently give (to un-v; reverse the action of v) (conjugation: progressive tense)
mapura	you (plural) give (to un-v; reverse the action of v) recently (conjugation: near past tense)
makapura	you (plural) give (to un-v; reverse the action of v) (conjugation: remote past tense)
muchapura	you (plural) will give (to un-v; reverse the action of v) (conjugation: future tense)
vanopura	they give (to un-v; reverse the action of v) (conjugation: present habitual tense)
varikupura	they are currently give (to un-v; reverse the action of v) (conjugation: progressive tense)
vapura	they give (to un-v; reverse the action of v) recently (conjugation: near past tense)
vakapura	they give (to un-v; reverse the action of v) (conjugation: remote past tense)
vachapura	they will give (to un-v; reverse the action of v) (conjugation: future tense)
ndinorarwa	I sleep (to be v-ed) (conjugation: present habitual tense)
ndirikurarwa	I am currently sleep (to be v-ed) (conjugation: progressive tense)
ndararwa	I sleep (to be v-ed) recently (conjugation: near past tense)
ndakararwa	I sleep (to be v-ed) (conjugation: remote past tense)
ndichararwa	I will sleep (to be v-ed) (conjugation: future tense)
unorarwa	you (singular) sleep (to be v-ed) (conjugation: present habitual tense)
urikurarwa	you (singular) are currently sleep (to be v-ed) (conjugation: progressive tense)
wararwa	you (singular) sleep (to be v-ed) recently (conjugation: near past tense)
wakararwa	you (singular) sleep (to be v-ed) (conjugation: remote past tense)
uchararwa	you (singular) will sleep (to be v-ed) (conjugation: future tense)
anorarwa	he/she/it sleep (to be v-ed) (conjugation: present habitual tense)
arikurarwa	he/she/it is currently sleep (to be v-ed) (conjugation: progressive tense)
ararwa	he/she/it sleep (to be v-ed) recently (conjugation: near past tense)
akararwa	he/she/it sleep (to be v-ed) (conjugation: remote past tense)
achararwa	he/she/it will sleep (to be v-ed) (conjugation: future tense)
tinorarwa	we sleep (to be v-ed) (conjugation: present habitual tense)
tirikurarwa	we are currently sleep (to be v-ed) (conjugation: progressive tense)
tararwa	we sleep (to be v-ed) recently (conjugation: near past tense)
takararwa	we sleep (to be v-ed) (conjugation: remote past tense)
tichararwa	we will sleep (to be v-ed) (conjugation: future tense)
munorarwa	you (plural) sleep (to be v-ed) (conjugation: present habitual tense)
murikurarwa	you (plural) are currently sleep (to be v-ed) (conjugation: progressive tense)
mararwa	you (plural) sleep (to be v-ed) recently (conjugation: near past tense)
makararwa	you (plural) sleep (to be v-ed) (conjugation: remote past tense)
muchararwa	you (plural) will sleep (to be v-ed) (conjugation: future tense)
vanorarwa	they sleep (to be v-ed) (conjugation: present habitual tense)
varikurarwa	they are currently sleep (to be v-ed) (conjugation: progressive tense)
vararwa	they sleep (to be v-ed) recently (conjugation: near past tense)
vakararwa	they sleep (to be v-ed) (conjugation: remote past tense)
vachararwa	they will sleep (to be v-ed) (conjugation: future tense)
ndinorarisa	I sleep (to cause to v; make v) (conjugation: present habitual tense)
ndirikurarisa	I am currently sleep (to cause to v; make v) (conjugation: progressive tense)
ndararisa	I sleep (to cause to v; make v) recently (conjugation: near past tense)
ndakararisa	I sleep (to cause to v; make v) (conjugation: remote past tense)
ndichararisa	I will sleep (to cause to v; make v) (conjugation: future tense)
unorarisa	you (singular) sleep (to cause to v; make v) (conjugation: present habitual tense)
urikurarisa	you (singular) are currently sleep (to cause to v; make v) (conjugation: progressive tense)
wararisa	you (singular) sleep (to cause to v; make v) recently (conjugation: near past tense)
wakararisa	you (singular) sleep (to cause to v; make v) (conjugation: remote past tense)
uchararisa	you (singular) will sleep (to cause to v; make v) (conjugation: future tense)
anorarisa	he/she/it sleep (to cause to v; make v) (conjugation: present habitual tense)
arikurarisa	he/she/it is currently sleep (to cause to v; make v) (conjugation: progressive tense)
ararisa	he/she/it sleep (to cause to v; make v) recently (conjugation: near past tense)
akararisa	he/she/it sleep (to cause to v; make v) (conjugation: remote past tense)
achararisa	he/she/it will sleep (to cause to v; make v) (conjugation: future tense)
tinorarisa	we sleep (to cause to v; make v) (conjugation: present habitual tense)
tirikurarisa	we are currently sleep (to cause to v; make v) (conjugation: progressive tense)
tararisa	we sleep (to cause to v; make v) recently (conjugation: near past tense)
takararisa	we sleep (to cause to v; make v) (conjugation: remote past tense)
tichararisa	we will sleep (to cause to v; make v) (conjugation: future tense)
munorarisa	you (plural) sleep (to cause to v; make v) (conjugation: present habitual tense)
murikurarisa	you (plural) are currently sleep (to cause to v; make v) (conjugation: progressive tense)
mararisa	you (plural) sleep (to cause to v; make v) recently (conjugation: near past tense)
makararisa	you (plural) sleep (to cause to v; make v) (conjugation: remote past tense)
muchararisa	you (plural) will sleep (to cause to v; make v) (conjugation: future tense)
vanorarisa	they sleep (to cause to v; make v) (conjugation: present habitual tense)
varikurarisa	they are currently sleep (to cause to v; make v) (conjugation: progressive tense)
vararisa	they sleep (to cause to v; make v) recently (conjugation: near past tense)
vakararisa	they sleep (to cause to v; make v) (conjugation: remote past tense)
vachararisa	they will sleep (to cause to v; make v) (conjugation: future tense)
ndinorarana	I sleep (to v each other) (conjugation: present habitual tense)
ndirikurarana	I am currently sleep (to v each other) (conjugation: progressive tense)
ndararana	I sleep (to v each other) recently (conjugation: near past tense)
ndakararana	I sleep (to v each other) (conjugation: remote past tense)
ndichararana	I will sleep (to v each other) (conjugation: future tense)
unorarana	you (singular) sleep (to v each other) (conjugation: present habitual tense)
urikurarana	you (singular) are currently sleep (to v each other) (conjugation: progressive tense)
wararana	you (singular) sleep (to v each other) recently (conjugation: near past tense)
wakararana	you (singular) sleep (to v each other) (conjugation: remote past tense)
uchararana	you (singular) will sleep (to v each other) (conjugation: future tense)
anorarana	he/she/it sleep (to v each other) (conjugation: present habitual tense)
arikurarana	he/she/it is currently sleep (to v each other) (conjugation: progressive tense)
ararana	he/she/it sleep (to v each other) recently (conjugation: near past tense)
akararana	he/she/it sleep (to v each other) (conjugation: remote past tense)
achararana	he/she/it will sleep (to v each other) (conjugation: future tense)
tinorarana	we sleep (to v each other) (conjugation: present habitual tense)
tirikurarana	we are currently sleep (to v each other) (conjugation: progressive tense)
tararana	we sleep (to v each other) recently (conjugation: near past tense)
takararana	we sleep (to v each other) (conjugation: remote past tense)
tichararana	we will sleep (to v each other) (conjugation: future tense)
munorarana	you (plural) sleep (to v each other) (conjugation: present habitual tense)
murikurarana	you (plural) are currently sleep (to v each other) (conjugation: progressive tense)
mararana	you (plural) sleep (to v each other) recently (conjugation: near past tense)
makararana	you (plural) sleep (to v each other) (conjugation: remote past tense)
muchararana	you (plural) will sleep (to v each other) (conjugation: future tense)
vanorarana	they sleep (to v each other) (conjugation: present habitual tense)
varikurarana	they are currently sleep (to v each other) (conjugation: progressive tense)
vararana	they sleep (to v each other) recently (conjugation: near past tense)
vakararana	they sleep (to v each other) (conjugation: remote past tense)
vachararana	they will sleep (to v each other) (conjugation: future tense)
ndinorarira	I sleep (to v for / at / on behalf of) (conjugation: present habitual tense)
ndirikurarira	I am currently sleep (to v for / at / on behalf of) (conjugation: progressive tense)
ndararira	I sleep (to v for / at / on behalf of) recently (conjugation: near past tense)
ndakararira	I sleep (to v for / at / on behalf of) (conjugation: remote past tense)
ndichararira	I will sleep (to v for / at / on behalf of) (conjugation: future tense)
unorarira	you (singular) sleep (to v for / at / on behalf of) (conjugation: present habitual tense)
urikurarira	you (singular) are currently sleep (to v for / at / on behalf of) (conjugation: progressive tense)
wararira	you (singular) sleep (to v for / at / on behalf of) recently (conjugation: near past tense)
wakararira	you (singular) sleep (to v for / at / on behalf of) (conjugation: remote past tense)
uchararira	you (singular) will sleep (to v for / at / on behalf of) (conjugation: future tense)
anorarira	he/she/it sleep (to v for / at / on behalf of) (conjugation: present habitual tense)
arikurarira	he/she/it is currently sleep (to v for / at / on behalf of) (conjugation: progressive tense)
ararira	he/she/it sleep (to v for / at / on behalf of) recently (conjugation: near past tense)
akararira	he/she/it sleep (to v for / at / on behalf of) (conjugation: remote past tense)
achararira	he/she/it will sleep (to v for / at / on behalf of) (conjugation: future tense)
tinorarira	we sleep (to v for / at / on behalf of) (conjugation: present habitual tense)
tirikurarira	we are currently sleep (to v for / at / on behalf of) (conjugation: progressive tense)
tararira	we sleep (to v for / at / on behalf of) recently (conjugation: near past tense)
takararira	we sleep (to v for / at / on behalf of) (conjugation: remote past tense)
tichararira	we will sleep (to v for / at / on behalf of) (conjugation: future tense)
munorarira	you (plural) sleep (to v for / at / on behalf of) (conjugation: present habitual tense)
murikurarira	you (plural) are currently sleep (to v for / at / on behalf of) (conjugation: progressive tense)
mararira	you (plural) sleep (to v for / at / on behalf of) recently (conjugation: near past tense)
makararira	you (plural) sleep (to v for / at / on behalf of) (conjugation: remote past tense)
muchararira	you (plural) will sleep (to v for / at / on behalf of) (conjugation: future tense)
vanorarira	they sleep (to v for / at / on behalf of) (conjugation: present habitual tense)
varikurarira	they are currently sleep (to v for / at / on behalf of) (conjugation: progressive tense)
vararira	they sleep (to v for / at / on behalf of) recently (conjugation: near past tense)
vakararira	they sleep (to v for / at / on behalf of) (conjugation: remote past tense)
vachararira	they will sleep (to v for / at / on behalf of) (conjugation: future tense)
ndinorarura	I sleep (to un-v; reverse the action of v) (conjugation: present habitual tense)
ndirikurarura	I am currently sleep (to un-v; reverse the action of v) (conjugation: progressive tense)
ndararura	I sleep (to un-v; reverse the action of v) recently (conjugation: near past tense)
ndakararura	I sleep (to un-v; reverse the action of v) (conjugation: remote past tense)
ndichararura	I will sleep (to un-v; reverse the action of v) (conjugation: future tense)
unorarura	you (singular) sleep (to un-v; reverse the action of v) (conjugation: present habitual tense)
urikurarura	you (singular) are currently sleep (to un-v; reverse the action of v) (conjugation: progressive tense)
wararura	you (singular) sleep (to un-v; reverse the action of v) recently (conjugation: near past tense)
wakararura	you (singular) sleep (to un-v; reverse the action of v) (conjugation: remote past tense)
uchararura	you (singular) will sleep (to un-v; reverse the action of v) (conjugation: future tense)
anorarura	he/she/it sleep (to un-v; reverse the action of v) (conjugation: present habitual tense)
arikurarura	he/she/it is currently sleep (to un-v; reverse the action of v) (conjugation: progressive tense)
ararura	he/she/it sleep (to un-v; reverse the action of v) recently (conjugation: near past tense)
akararura	he/she/it sleep (to un-v; reverse the action of v) (conjugation: remote past tense)
achararura	he/she/it will sleep (to un-v; reverse the action of v) (conjugation: future tense)
tinorarura	we sleep (to un-v; reverse the action of v) (conjugation: present habitual tense)
tirikurarura	we are currently sleep (to un-v; reverse the action of v) (conjugation: progressive tense)
tararura	we sleep (to un-v; reverse the action of v) recently (conjugation: near past tense)
takararura	we sleep (to un-v; reverse the action of v) (conjugation: remote past tense)
tichararura	we will sleep (to un-v; reverse the action of v) (conjugation: future tense)
munorarura	you (plural) sleep (to un-v; reverse the action of v) (conjugation: present habitual tense)
murikurarura	you (plural) are currently sleep (to un-v; reverse the action of v) (conjugation: progressive tense)
mararura	you (plural) sleep (to un-v; reverse the action of v) recently (conjugation: near past tense)
makararura	you (plural) sleep (to un-v; reverse the action of v) (conjugation: remote past tense)
muchararura	you (plural) will sleep (to un-v; reverse the action of v) (conjugation: future tense)
vanorarura	they sleep (to un-v; reverse the action of v) (conjugation: present habitual tense)
varikurarura	they are currently sleep (to un-v; reverse the action of v) (conjugation: progressive tense)
vararura	they sleep (to un-v; reverse the action of v) recently (conjugation: near past tense)
vakararura	they sleep (to un-v; reverse the action of v) (conjugation: remote past tense)
vachararura	they will sleep (to un-v; reverse the action of v) (conjugation: future tense)
ndinorimwa	I cultivate (to be v-ed) (conjugation: present habitual tense)
ndirikurimwa	I am currently cultivate (to be v-ed) (conjugation: progressive tense)
ndarimwa	I cultivate (to be v-ed) recently (conjugation: near past tense)
ndakarimwa	I cultivate (to be v-ed) (conjugation: remote past tense)
ndicharimwa	I will cultivate (to be v-ed) (conjugation: future tense)
unorimwa	you (singular) cultivate (to be v-ed) (conjugation: present habitual tense)
urikurimwa	you (singular) are currently cultivate (to be v-ed) (conjugation: progressive tense)
warimwa	you (singular) cultivate (to be v-ed) recently (conjugation: near past tense)
wakarimwa	you (singular) cultivate (to be v-ed) (conjugation: remote past tense)
ucharimwa	you (singular) will cultivate (to be v-ed) (conjugation: future tense)
anorimwa	he/she/it cultivate (to be v-ed) (conjugation: present habitual tense)
arikurimwa	he/she/it is currently cultivate (to be v-ed) (conjugation: progressive tense)
arimwa	he/she/it cultivate (to be v-ed) recently (conjugation: near past tense)
akarimwa	he/she/it cultivate (to be v-ed) (conjugation: remote past tense)
acharimwa	he/she/it will cultivate (to be v-ed) (conjugation: future tense)
tinorimwa	we cultivate (to be v-ed) (conjugation: present habitual tense)
tirikurimwa	we are currently cultivate (to be v-ed) (conjugation: progressive tense)
tarimwa	we cultivate (to be v-ed) recently (conjugation: near past tense)
takarimwa	we cultivate (to be v-ed) (conjugation: remote past tense)
ticharimwa	we will cultivate (to be v-ed) (conjugation: future tense)
munorimwa	you (plural) cultivate (to be v-ed) (conjugation: present habitual tense)
murikurimwa	you (plural) are currently cultivate (to be v-ed) (conjugation: progressive tense)
marimwa	you (plural) cultivate (to be v-ed) recently (conjugation: near past tense)
makarimwa	you (plural) cultivate (to be v-ed) (conjugation: remote past tense)
mucharimwa	you (plural) will cultivate (to be v-ed) (conjugation: future tense)
vanorimwa	they cultivate (to be v-ed) (conjugation: present habitual tense)
varikurimwa	they are currently cultivate (to be v-ed) (conjugation: progressive tense)
varimwa	they cultivate (to be v-ed) recently (conjugation: near past tense)
vakarimwa	they cultivate (to be v-ed) (conjugation: remote past tense)
vacharimwa	they will cultivate (to be v-ed) (conjugation: future tense)
ndinorimisa	I cultivate (to cause to v; make v) (conjugation: present habitual tense)
ndirikurimisa	I am currently cultivate (to cause to v; make v) (conjugation: progressive tense)
ndarimisa	I cultivate (to cause to v; make v) recently (conjugation: near past tense)
